condition,replicate,n,k,theta,theta2,lambda,sign_changes_half,C,E
coherent_soft_clean,1,512,0,0.0,0.0,0.9999899449739952,2,0.9999999999999998,4.440892098500626e-16
coherent_soft_clean,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.9987422645582937,0.0025154708834125294
coherent_soft_clean,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.9950292608798661,0.00994147824026781
coherent_soft_clean,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.9890333479989606,0.021933304002078824
coherent_soft_clean,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.9810162710572163,0.037967457885567324
coherent_soft_clean,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.9712962076367511,0.05740758472649787
coherent_soft_clean,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.9602100514719425,0.07957989705611501
coherent_soft_clean,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.9351692823749198,0.12966143525016038
coherent_soft_clean,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.9077832074574164,0.18443358508516727
coherent_soft_clean,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.8788882171112521,0.24222356577749582
coherent_soft_clean,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.8167067684265339,0.3665864631469322
coherent_soft_clean,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.7493204188634653,0.5013591622730693
coherent_soft_clean,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.6793298601356403,0.6413402797287193
coherent_soft_clean,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.6073692178153647,0.7852615643692706
coherent_soft_clean,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.5352394818849799,0.9295210362300401
coherent_soft_clean,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.004909098231568668,1.9901818035368626
coherent_soft_noise_sigma0.05,1,512,0,0.0,0.0,0.9999899449739952,2,0.9988016576081276,0.0023966847837448846
coherent_soft_noise_sigma0.05,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.9974735398828674,0.00505292023426529
coherent_soft_noise_sigma0.05,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.993634403166431,0.01273119366713793
coherent_soft_noise_sigma0.05,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.9877594338292376,0.024481132341524825
coherent_soft_noise_sigma0.05,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.9792246306631729,0.04155073867365422
coherent_soft_noise_sigma0.05,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.9692992980880368,0.06140140382392634
coherent_soft_noise_sigma0.05,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.959168368545354,0.08166326290929193
coherent_soft_noise_sigma0.05,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.9348268655619902,0.13034626887601952
coherent_soft_noise_sigma0.05,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.908051304097064,0.18389739180587195
coherent_soft_noise_sigma0.05,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.8796078912754799,0.24078421744904022
coherent_soft_noise_sigma0.05,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.8177528135764375,0.36449437284712505
coherent_soft_noise_sigma0.05,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.7480218762500737,0.5039562474998527
coherent_soft_noise_sigma0.05,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.6797842970030165,0.6404314059939671
coherent_soft_noise_sigma0.05,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.6075722837460871,0.7848554325078259
coherent_soft_noise_sigma0.05,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.5346793119514084,0.9306413760971832
coherent_soft_noise_sigma0.05,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.003368537249250181,1.9932629255014995
coherent_soft_noise_sigma0.10,1,512,0,0.0,0.0,0.9999899449739952,2,0.9955190847961597,0.008961830407680615
coherent_soft_noise_sigma0.10,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.9928162744032603,0.014367451193479486
coherent_soft_noise_sigma0.10,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.9898125684069288,0.020374863186142456
coherent_soft_noise_sigma0.10,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.9837355723112229,0.03252885537755423
coherent_soft_noise_sigma0.10,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.9747845062316192,0.05043098753676167
coherent_soft_noise_sigma0.10,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.9659663513664909,0.06806729726701821
coherent_soft_noise_sigma0.10,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.9534577030865792,0.09308459382684164
coherent_soft_noise_sigma0.10,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.9318055748249257,0.1363888503501487
coherent_soft_noise_sigma0.10,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.9035602357895468,0.1928795284209064
coherent_soft_noise_sigma0.10,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.8702824912513664,0.2594350174972673
coherent_soft_noise_sigma0.10,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.8142690495797097,0.3714619008405806
coherent_soft_noise_sigma0.10,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.747601556416171,0.504796887167658
coherent_soft_noise_sigma0.10,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.6745596153897022,0.6508807692205956
coherent_soft_noise_sigma0.10,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.6013666625192378,0.7972666749615245
coherent_soft_noise_sigma0.10,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.5373401567203631,0.9253196865592739
coherent_soft_noise_sigma0.10,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.006330553605275319,1.9873388927894493
coherent_soft_noise_sigma0.30,1,512,0,0.0,0.0,0.9999899449739952,2,0.9580784278702017,0.0838431442595966
coherent_soft_noise_sigma0.30,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.9547891189130127,0.09042176217397468
coherent_soft_noise_sigma0.30,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.9551184661498021,0.08976306770039577
coherent_soft_noise_sigma0.30,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.9557778791728533,0.08844424165429343
